"path","chars","est_tokens"
"distill-process.md","40601","10684"
"SPINE.md","13826","3638"
"profile\working-style.md","11103","2922"
"craft\execution-gap.md","10476","2757"
"profile\communication-style.md","8348","2197"
"craft\llm-first-design.md","8229","2166"
"craft\signal-research.md","7907","2081"
"craft\talk-slide-engine.md","7741","2037"
"projects\rules-not-vibes.md","7167","1886"
"craft\talk-slide-motion.md","6826","1796"
"craft\agent-facing-doc-design.md","6363","1674"
"craft\tight-loops-llm-validation.md","6256","1646"
"profile\ivan.md","6231","1640"
"projects\investment-lab.md","6090","1603"
"craft\css-layout.md","5740","1511"
"craft\audience-trust.md","5638","1484"
"craft\adversarial-review-methodology.md","5069","1334"
"ops\windows-tooling.md","4408","1160"
"craft\safe-folder-reorganization.md","4181","1100"
"craft\backtesting.md","4069","1071"
"ops\free-data-sources.md","4053","1067"
"distill-monitor.md","4022","1058"
"ops\agent-patterns.md","3938","1036"
"craft\rca-methodology.md","3935","1036"
"craft\preserve-user-scaffolding.md","3917","1031"
"craft\time-relative-phrase-handling.md","3425","901"
"ops\parallel-agents-shared-repo.md","3272","861"
"ops\cdp-verification.md","3239","852"
"ops\home-network.md","3125","822"
"projects\homelab-pi.md","2918","768"
"profile\ethics-dual-use.md","2881","758"
"feedback\working-conventions.md","2733","719"
"projects\nast.md","2695","709"
"ops\zen-smu-tooling.md","2693","709"
"feedback\tools-and-preferences.md","2669","702"
"projects\inception-ai.md","2522","664"
"ops\claude-profiles.md","2442","643"
"ops\whea-crash-forensics.md","2439","642"
"projects\distill-benchmark.md","2189","576"
"ops\raspberry-pi.md","1985","522"
"projects\snapdiscuss.md","1922","506"
"projects\inception-providers.md","1754","462"
"craft\review-protocol.md","1721","453"
"ops\github-cli-pitfalls.md","1609","423"
"ops\claude-code-workflows.md","1408","371"
"feedback\preferences.md","1300","342"
"feedback\tool-philosophy.md","1296","341"
"craft\llm-context-design.md","1182","311"
"projects\inception-virtual-cam.md","1006","265"
